week,market_data,cash,shares_held,portfolio_value,last_profit
165,"{'Close': 95962.53125, 'High': 97361.1796875, 'Low': 91778.6640625, 'Open': 91978.140625, 'Volume': 71133452438.0, 'Rsi_14': 66.63347842330502, 'Sma_10': 95156.95625, 'Sma_50': 76937.583671875, 'Roc_5': -3.0658630597423344, 'Bbl_20_2.0': 77531.21671621567, 'Bbm_20_2.0': 90566.51601562499, 'Bbu_20_2.0': 103601.81531503431, 'Bbb_20_2.0': 28.786133933120286, 'Bbp_20_2.0': 0.7069770363699867, 'Macd_12_26_9': 5757.937121227587, 'Macdh_12_26_9': -458.74509935386595, 'Macds_12_26_9': 6216.682220581453, 'Price_vs_sma10': 0.008465749975057625, 'Sma10_vs_sma50': 0.23680718458520028, 'Bb_position': 0.17790532412716947}",19896.788051827763,2.0165174212355312,213406.90410331183,8020.115143397241
166,"{'Close': 95652.46875, 'High': 96650.203125, 'Low': 94677.3515625, 'Open': 95954.9453125, 'Volume': 52260008261.0, 'Rsi_14': 65.86271854987405, 'Sma_10': 95667.9390625, 'Sma_50': 77638.99101562501, 'Roc_5': -2.173114728530049, 'Bbl_20_2.0': 80114.214521998, 'Bbm_20_2.0': 91521.865625, 'Bbu_20_2.0': 102929.51672800201, 'Bbb_20_2.0': 24.928799309540963, 'Bbp_20_2.0': 0.6810452952892728, 'Macd_12_26_9': 5520.472966505462, 'Macdh_12_26_9': -556.9674032607936, 'Macds_12_26_9': 6077.440369766256, 'Price_vs_sma10': -0.00016170843285217426, 'Sma10_vs_sma50': 0.2322151255578092, 'Bb_position': 0.15096013973390018}",10670.346273393,2.112663715609511,212751.84630999065,-655.0577933211753
167,"{'Close': 97461.5234375, 'High': 98693.171875, 'Low': 95407.8828125, 'Open': 95653.953125, 'Volume': 54968682476.0, 'Rsi_14': 68.17570226610643, 'Sma_10': 96179.71250000001, 'Sma_50': 78382.731484375, 'Roc_5': -0.5634887745820922, 'Bbl_20_2.0': 83212.56493087042, 'Bbm_20_2.0': 92555.99843749999, 'Bbu_20_2.0': 101899.43194412957, 'Bbb_20_2.0': 20.189795722292136, 'Bbp_20_2.0': 0.7625119018891355, 'Macd_12_26_9': 5415.826233842759, 'Macdh_12_26_9': -529.2913087387969, 'Macds_12_26_9': 5945.117542581556, 'Price_vs_sma10': 0.013327248586857557, 'Sma10_vs_sma50': 0.2270523197979225, 'Bb_position': 0.13983354209905846}",111711.09629169182,1.0563318578047556,214662.8084089079,1910.9620989172545
168,"{'Close': 96449.0546875, 'High': 97499.34375, 'Low': 96144.21875, 'Open': 97468.8125, 'Volume': 31634227866.0, 'Rsi_14': 65.50081808782885, 'Sma_10': 96390.66875, 'Sma_50': 79062.81078125001, 'Roc_5': 3.594710254026695, 'Bbl_20_2.0': 85800.03293566106, 'Bbm_20_2.0': 93354.741796875, 'Bbu_20_2.0': 100909.45065808893, 'Bbb_20_2.0': 16.18494940011033, 'Bbp_20_2.0': 0.7047936556834961, 'Macd_12_26_9': 5191.352497610234, 'Macdh_12_26_9': -603.0120359770581, 'Macds_12_26_9': 5794.3645335872925, 'Price_vs_sma10': 0.0006057218842565911, 'Sma10_vs_sma50': 0.21916572150075067, 'Bb_position': 0.1055304699648101}",33513.32888750755,1.8586768719818716,212780.95615967852,-1881.852249229385
169,"{'Close': 97279.7890625, 'High': 97888.125, 'Low': 95770.1875, 'Open': 96461.3359375, 'Volume': 36590695296.0, 'Rsi_14': 66.65679186519135, 'Sma_10': 96268.17500000002, 'Sma_50': 79744.54609375, 'Roc_5': 5.755775739012704, 'Bbl_20_2.0': 86368.54374139363, 'Bbm_20_2.0': 93783.65703125, 'Bbu_20_2.0': 101198.77032110636, 'Bbb_20_2.0': 15.813231269890762, 'Bbp_20_2.0': 0.7357436693538181, 'Macd_12_26_9': 5022.591457854171, 'Macdh_12_26_9': -617.4184605864975, 'Macds_12_26_9': 5640.009918440668, 'Price_vs_sma10': 0.010508291681025244, 'Sma10_vs_sma50': 0.2072070093273132, 'Bb_position': 0.10781993977283222}",123147.14252359304,0.9293384359909358,213552.98954446492,772.0333847863949
170,"{'Close': 95865.3046875, 'High': 98152.6015625, 'Low': 94482.8671875, 'Open': 97276.0078125, 'Volume': 72680784305.0, 'Rsi_14': 62.7983825271068, 'Sma_10': 95954.93906250001, 'Sma_50': 80404.82468749999, 'Roc_5': -0.10131721332642525, 'Bbl_20_2.0': 87244.62553393286, 'Bbm_20_2.0': 94179.131640625, 'Bbu_20_2.0': 101113.63774731713, 'Bbb_20_2.0': 14.726205234410704, 'Bbp_20_2.0': 0.6215784528077468, 'Macd_12_26_9': 4720.29740012101, 'Macdh_12_26_9': -735.7700146557272, 'Macds_12_26_9': 5456.067414776737, 'Price_vs_sma10': -0.0009341298725813958, 'Sma10_vs_sma50': 0.19339777725325347, 'Bb_position': 0.08525733368539469}",36944.14275707792,1.8154731675448015,210985.03111574106,-2567.958428723854
171,"{'Close': 96002.1640625, 'High': 96297.203125, 'Low': 93629.5625, 'Open': 95854.59375, 'Volume': 67067810961.0, 'Rsi_14': 63.021418656391276, 'Sma_10': 95777.42734375001, 'Sma_50': 81003.94546874998, 'Roc_5': 0.365589427089408, 'Bbl_20_2.0': 87685.62090103001, 'Bbm_20_2.0': 94450.03164062499, 'Bbu_20_2.0': 101214.44238021997, 'Bbb_20_2.0': 14.323787132931917, 'Bbp_20_2.0': 0.6147278367345226, 'Macd_12_26_9': 4440.582320414163, 'Macdh_12_26_9': -812.3880754900592, 'Macds_12_26_9': 5252.970395904223, 'Price_vs_sma10': 0.0023464476441134702, 'Sma10_vs_sma50': 0.18237978149717904, 'Bb_position': 0.0821675540159402}",22166.485654246753,1.9696233801895442,211254.5925405392,269.5614247981284
172,"{'Close': 98768.53125, 'High': 99207.328125, 'Low': 94660.5234375, 'Open': 95988.53125, 'Volume': 77199817112.0, 'Rsi_14': 67.29026374199444, 'Sma_10': 95852.8984375, 'Sma_50': 81638.49390624998, 'Roc_5': 1.3410500538072918, 'Bbl_20_2.0': 88912.46948788167, 'Bbm_20_2.0': 95025.93671874999, 'Bbu_20_2.0': 101139.40394961831, 'Bbb_20_2.0': 12.866944419527194, 'Bbp_20_2.0': 0.8060942661435052, 'Macd_12_26_9': 4391.506266422599, 'Macdh_12_26_9': -689.171303585299, 'Macds_12_26_9': 5080.677570007898, 'Price_vs_sma10': 0.03041778454306326, 'Sma10_vs_sma50': 0.17411399759007332, 'Bb_position': 0.09745026544775806}",15516.539957972727,2.038892086381883,216894.91670715946,5640.324166620267
173,"{'Close': 96593.5703125, 'High': 103900.46875, 'Low': 91998.78125, 'Open': 98741.5390625, 'Volume': 149218945580.0, 'Rsi_14': 61.298730798916004, 'Sma_10': 96202.02578124999, 'Sma_50': 82218.11093749997, 'Roc_5': 0.14983622749672168, 'Bbl_20_2.0': 89448.34582038585, 'Bbm_20_2.0': 95302.31484374999, 'Bbu_20_2.0': 101156.28386711414, 'Bbb_20_2.0': 12.285051067147405, 'Bbp_20_2.0': 0.6102888880686247, 'Macd_12_26_9': 4129.509553706448, 'Macdh_12_26_9': -760.93441304116, 'Macds_12_26_9': 4890.443966747608, 'Price_vs_sma10': 0.004070023765823045, 'Sma10_vs_sma50': 0.1700831445079081, 'Bb_position': 0.07063549805270242}",10861.57797058091,2.0860220976160213,212357.9001300828,-4537.016577076662
174,"{'Close': 99920.7109375, 'High': 102039.8828125, 'Low': 96514.875, 'Open': 97074.2265625, 'Volume': 94534772658.0, 'Rsi_14': 66.2494764466362, 'Sma_10': 96995.56484374999, 'Sma_50': 82868.52843749996, 'Roc_5': 2.71476932716545, 'Bbl_20_2.0': 90017.24826439659, 'Bbm_20_2.0': 95770.4265625, 'Bbu_20_2.0': 101523.6048606034, 'Bbb_20_2.0': 12.014519522576977, 'Bbp_20_2.0': 0.860694920264177, 'Macd_12_26_9': 4142.594463359535, 'Macdh_12_26_9': -598.2796027104587, 'Macds_12_26_9': 4740.874066069994, 'Price_vs_sma10': 0.030157524196720974, 'Sma10_vs_sma50': 0.17047528986718694, 'Bb_position': 0.09754837494887342}",10617.895128845868,2.0885448622363443,219306.78258836438,6948.882458281587
175,"{'Close': 99923.3359375, 'High': 100563.3828125, 'Low': 99030.8828125, 'Open': 99916.7109375, 'Volume': 44177510897.0, 'Rsi_14': 66.25314438098594, 'Sma_10': 97391.64531249998, 'Sma_50': 83498.61937499997, 'Roc_5': 4.233055184279962, 'Bbl_20_2.0': 90957.22164052824, 'Bbm_20_2.0': 96274.30078124999, 'Bbu_20_2.0': 101591.37992197173, 'Bbb_20_2.0': 11.04568736947354, 'Bbp_20_2.0': 0.8431428289550238, 'Macd_12_26_9': 4105.8465211976, 'Macdh_12_26_9': -508.0220358979159, 'Macds_12_26_9': 4613.868557095516, 'Price_vs_sma10': 0.025994946659711898, 'Sma10_vs_sma50': 0.16638629526441823, 'Bb_position': 0.08825664445013223}",73224.56136670141,1.461981403565441,219310.62028954874,3.8377011843549553
176,"{'Close': 101236.015625, 'High': 101399.9921875, 'Low': 98771.515625, 'Open': 99921.9140625, 'Volume': 44125751925.0, 'Rsi_14': 68.11903685726327, 'Sma_10': 97950.0, 'Sma_50': 84156.08499999996, 'Roc_5': 5.451805814598743, 'Bbl_20_2.0': 91775.64703547551, 'Bbm_20_2.0': 96808.96953125, 'Bbu_20_2.0': 101842.29202702448, 'Bbb_20_2.0': 10.39846311792364, 'Bbp_20_2.0': 0.93977373767194, 'Macd_12_26_9': 4134.980313421736, 'Macdh_12_26_9': -383.11059493902394, 'Macds_12_26_9': 4518.09090836076, 'Price_vs_sma10': 0.033547887953037266, 'Sma10_vs_sma50': 0.1639087060668286, 'Bb_position': 0.0928923377629219}",21967.36841001043,1.974946593085848,221903.09256618988,2592.4722766411433
177,"{'Close': 97432.71875, 'High': 101272.5078125, 'Low': 94355.9140625, 'Open': 101237.0625, 'Volume': 110676473908.0, 'Rsi_14': 58.09626868574506, 'Sma_10': 97947.11953125, 'Sma_50': 84724.70531249997, 'Roc_5': -1.352467717292293, 'Bbl_20_2.0': 92486.71393714793, 'Bbm_20_2.0': 97063.41601562501, 'Bbu_20_2.0': 101640.1180941021, 'Bbb_20_2.0': 9.43033382987539, 'Bbp_20_2.0': 0.5403459443112661, 'Macd_12_26_9': 3807.286749626728, 'Macdh_12_26_9': -568.6433269872259, 'Macds_12_26_9': 4375.930076613954, 'Price_vs_sma10': -0.005251821428866894, 'Sma10_vs_sma50': 0.15606326596215678, 'Bb_position': 0.048661934928813065}",15377.1578870073,2.0400440831669937,214144.19927981863,-7758.893286371254
178,"{'Close': 96675.4296875, 'High': 98270.15625, 'Low': 94321.2578125, 'Open': 97441.234375, 'Volume': 104823780634.0, 'Rsi_14': 56.31936821737249, 'Sma_10': 97969.75703125, 'Sma_50': 85310.85687499995, 'Roc_5': 0.08474619452947867, 'Bbl_20_2.0': 92780.39468227311, 'Bbm_20_2.0': 97180.212890625, 'Bbu_20_2.0': 101580.03109897689, 'Bbb_20_2.0': 9.054967214990208, 'Bbp_20_2.0': 0.4426359023008266, 'Macd_12_26_9': 3446.748371301568, 'Macdh_12_26_9': -743.3453642499089, 'Macds_12_26_9': 4190.093735551477, 'Price_vs_sma10': -0.013211498966330431, 'Sma10_vs_sma50': 0.1483855703711692, 'Bb_position': 0.03834449510486635}",10707.115036723182,2.087975033983083,212562.99862381016,-1581.20065600847
